"Reference","Value","Datasheet","Footprint","Qty","DNP","#","Mouser"
"C1","0.33 uF","~","Capacitor_SMD:C_0805_2012Metric","1","","1","667-ECH-U1H331JB5"
"C2","0.1 uF","~","Capacitor_SMD:C_0805_2012Metric","1","","2","667-ECH-U1H101JX5"
"C3","1 uF","~","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","1","","3","871-B41821A6227M000"
"D1,D2","WS2812B","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","2","","4","474-COM-24837"
"D3","D","~","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","1","","5","637-1N4001"
"J1,J2","DE9_Plug_MountingHoles"," ~","-- verschiedene Werte --","2","","6","-- verschiedene Werte --"
"J3","Man. Bedienung","~","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","1","","7","571-3-641215-8"
"J6,J7","Conn_01x08","~","Connector_PinSocket_2.54mm:PinSocket_1x08_P2.54mm_Vertical","2","","8","571-3-641215-8"
"J8","Reed Nord","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","","9","571-6445182"
"J9","RLT Nord","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","","10","571-6404543"
"J10","Reed Süd","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","","11","571-6445182"
"J11","RLT Süd","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","1","","12","571-6404543"
"J12","Signal Nord","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1","","13","571-6412154"
"J13","Signal Süd","~","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","1","","14","571-6412154"
"J14","Gleis Nord In","~","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1","","15","571-6445182"
"J15","Gleis Nord Out","~","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1","","16","571-6445182"
"J16","Gleis Süd Out","~","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1","","17","571-6445182"
"J17","Gleis Süd In","~","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1","","18","571-6445182"
"J18","Local Supply","~","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1","","19","571-6445182"
"JP5","Jumper_2_Bridged","~","TestPoint:TestPoint_2Pads_Pitch5.08mm_Drill1.3mm","1","Nicht bestücken","20",""
"K1,K2","Relay_DPDT","~","Relay_THT:Relay_DPDT_Finder_30.22","2","","21","653-G6A234PST15USD12"
"Q1,Q2,Q5,Q6,Q7,Q8","BC547","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92_Inline","6","","22","637-BC547C"
"R1,R2,R3,R4,R9,R10,R11,R12","1K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","8","","23","71-TNPW08051K00FEEA"
"R5,R6,R7,R8,R13,R14,R15,R16,R29,R30,R31,R32","330","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","12","","24","71-CRCW0805330RJNEAH"
"R17,R19,R21,R23,R25,R27","660","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","6","","25","667-ERA-6AEB681V"
"R18,R20,R22,R24,R26,R28","10K","~","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","6","","26","594-MCU08050D1002BP1"
"U1,U3","LTV-847","http://optoelectronics.liteon.com/upload/download/DS-70-96-0016/LTV-8X7%20series.PDF","Package_DIP:DIP-16_W7.62mm","2","","27","859-LTV-847"
"U2","Pico","","MCU_RaspberryPi_and_Boards:RPi_Pico_SMD_TH","1","","28","909-RP2040-PICO"
"U4,U5","WS2811","https://cdn-shop.adafruit.com/datasheets/WS2811.pdf","Package_DIP:DIP-8_W7.62mm","2","","29","485-1378"
"U6","ULN2803A","http://www.ti.com/lit/ds/symlink/uln2803a.pdf","Package_DIP:DIP-18_W7.62mm_Socket","1","","30","511-ULN2803A"
"U7","LM7805_TO220","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","Package_TO_SOT_THT:TO-220-3_Vertical","1","","31","926-LM7805CT/NOPB"
